page,product_id,brand,product_name,model_code,price,feature,cpu,display_size,memory,storage_detail,od,gpu,weight,warranty,os,wifi,product_url
1,QCGV0048,ASUS 華碩,M1502YA-0031B7430U 15.6吋 R5 筆電 午夜藍,M1502YA-0031B7430U,19999,視訊鏡頭遮罩/新一代 AI 降噪技術/軍規級標準 / 180度 螢幕轉軸 / 0.2MS/ ASUS抗菌處理技術99%抑菌效果,AMD Ryzen 5 7430U Processor 2.3GHz,15.6吋 FHD (1920 x 1080)  16:9,8GB DDR4 on board (1 slot for upgrade),512GB M.2 NVMe PCIe 3.0 SSD可換不可加裝,無,AMD Radeon Graphics / 有包包/滑鼠,1.7KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 6  (802.11ax+Bluetooth 5.0 (Dual band) 2*2,https://www.sanjing3c.com.tw/prod-QCGV0048.html
1,QMSGF056,MSI 微星,B14WGK-497TW 15.6吋 i9 RTX5070 電競筆電,B14WGK-497TW,40999,Wi-Fi 6E提供極速無線網路體驗,Intel Core i9-14900HX Processor,15.6吋,,,,"NVIDIA GeForce RTX 5070 Laptop GPU, GDDR7 8GB",,,W11,,https://www.sanjing3c.com.tw/prod-QMSGF056.html
1,QMSGF045,MSI 微星,Katana A17 AI B8VF-1018TW 17.3吋 R9 RTX4060 電競筆電,Katana,37900,獨家微星AI智慧引擎 / 支援播放高解析音樂,Ryzen 9 8945HS,"17.3 FHD (1920*1080), 144Hz NTSC",DDR5 16GB,1TB NVMe PCIe SSD Gen4x4 w,o DRAM,GeForce RTX 4060 8GB GDDR6,2.25 kg,2年台灣保固內含一年全球,Windows 11,,https://www.sanjing3c.com.tw/prod-QMSGF045.html
1,QLEM002,Lenovo 聯想,ThinkBook 14 Gen7 14吋 R7 特仕版筆電｜升32G,ThinkBook,24990,特仕機  下單既已同意拆箱加裝商品 / 已拆箱 加裝16G RAM 合計16G RAM / 已開機測試 沒問題,"AMD R7 7735HS (3.20GHz, 16MB)",14吋 FHD (1920x1080) IPS,16GB+16G=32G  DDR5 4800,1TB SSD M.2 2242 PCIe 4.0x4 NVMe,NA,AMD Radeon 680M,1.38kg,1年保固 到府維修,Win 11 Home,,https://www.sanjing3c.com.tw/prod-QLEM002.html
1,QROTU0046,ASUS 華碩,FX608JMR-0041A14650HX 16吋 i7 RTX5060 電競筆電 御鐵灰【福利良品】,FX608JMR-0041A14650HX,45999,薄邊框 (軍規電競) 180度開闔/ 支援Type-C PD 充電,Intel Core i7 Processor 14650HX 2.2 GHz,16吋,,,,NVIDIA GeForce RTX 5060 8GB GDDR7(具備MUX獨顯直連),,,Windows 11 Home,TUF M3 電競滑鼠,https://www.sanjing3c.com.tw/prod-QROTU0046.html
1,QLNI0018,Lenovo 聯想,IdeaPad Slim 3 82XM00Q1TW 15.6吋 R5 效能筆電,IdeaPad,13990,47W 電池 / 快充技術 軍規耐用 / 防窺鏡頭蓋設計,AMD Ryzen 5 5625U 處理器 (2.30 GHz 最高達 4.30 GHz),15.6吋 FHD (1920x1080) TN 250nits,16GB  DDR4-3200不可加,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,NA,AMD Radeon Graphics,1.62  kg,2年尊榮保固  無包鼠,Windows 11 Home 64,,https://www.sanjing3c.com.tw/prod-QLNI0018.html
1,QMSGM071,MSI 微星,Modern 14 F13MG-044TW 14吋 i3 輕薄商務筆電 都會銀,Modern,12900,獨家MSI AI 智慧引擎，依照使用情境自動調整至最佳設定 / 180度可攤平設計與畫面翻轉快捷鍵,Intel Core i3-1315U,"14吋 FHD (1920*1080), IPS-Level",DDR4 8GB (3200MHz),512GB NVMe PCIe(GEN3x4) SSD,,Intel UHD Graphics,1.5Kg,1年(全球1年),Win 11,,https://www.sanjing3c.com.tw/prod-QMSGM071.html
1,QCGV0069,ASUS 華碩,M1605YA-0121K7730U 16吋 R7 筆電｜搖滾黑,M1605YA-0121K7730U,23999,視訊鏡頭遮罩 / AMD 最新七代 CPU / 有 PD充電 / 180° 螢幕轉軸 / ASUS抗菌處理技術99%抑菌效果,AMD R7 7730U Processor 2.0GHz,16吋 IPS (1920 x 1200) 16:10,8GB DDR4 on board (1 slot for upgrade),512GB M.2 NVMe PCIe 3.0 SSD可換不可加裝,無,AMD Radeon Graphics,1.88KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 6 +Bluetooth 5.3,https://www.sanjing3c.com.tw/prod-QCGV0069.html
1,QCRAL005,Acer 宏碁,AL14-52M-528M 14吋 i5 輕薄筆電 金色【福利良品】,AL14-52M-528M,17900,金屬上下蓋 / 可擴充記憶體 具Copilot Key,Intel Core i5-1334U,14.0 IPS,16:10/霧面/LED背光/8GB DDR5/2/MAX32GB,512GB PCIe Gen4 SSD,NA,Intel HD Graphics,1.5 kg,台灣2年,Windows 11 Home,不附鼠包,https://www.sanjing3c.com.tw/prod-QCRAL005.html
1,QROTU0040,ASUS 華碩,FA617NT-0022C7735HS 16吋 R7 電競筆電,FA617NT-0022C7735HS,36999,薄邊框(軍規電競)/支援TYPE-C PD 充電/MUX 獨顯直連開關,AMD Ryzen 7 7735HS Mobile Processor,16吋,,512GB PCIe 4.0 NVMe M.2 SSD,NA,AMD Radeon RX 7700S 8GB GDDR6,,,Windows 11 Home,TUF M3 P309 電競滑鼠,https://www.sanjing3c.com.tw/prod-QROTU0040.html
1,QROTU0060,ASUS 華碩,FA608UM-0031A260H 16吋 R7 RTX5060 電競筆電,FA608UM-0031A260H,37599,滿血版 強悍效能 薄邊框 (軍規電競) 180度開闔,AMD Ryzen 7 260,16吋,,,,NVIDIA GeForce RTX 5060 8GB GDDR7(具備MUX獨顯直連),,,Windows 11 Home TUF M3 電競滑鼠,,https://www.sanjing3c.com.tw/prod-QROTU0060.html
1,QMSGF030,MSI 微星,Thin A15 B7UCX-032TW 15.6吋 R5 RTX2050 電競筆電【福利良品】,Thin,20900,"纖薄設計21.7mm, 極致輕巧1.86kg",AMD Ryzen 5 7535HS,15.6吋,,512GB M.2 SSD (NVMe PCIe),NA,GeForce RTX 2050 4GB GDDR6,1.86kg,兩年保固 台灣地區2年到府收送（免費客服電話0800-018880）,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QMSGF030.html
1,QASM0013X,ASUS 華碩,M1502YA-0031B7430U 15.6吋 R5 特仕版筆電 午夜藍｜升16G,M1502YA-0031B7430U,20499,特仕機  下單既已同意拆箱加裝商品 / 已拆箱 加裝8G RAM 合計16G RAM / 已開機測試 沒問題,AMD Ryzen 5 7430U Processor 2.3GHz,15.6吋 FHD (1920 x 1080)  16:9,8GB DDR4 on board+8G=16G,512GB M.2 NVMe PCIe 3.0 SSD可換不可加裝,無,AMD Radeon Graphics / 有包包/滑鼠,1.7KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 6  (802.11ax+Bluetooth 5.0 (Dual band) 2*2,https://www.sanjing3c.com.tw/prod-QASM0013X.html
1,QCRAL054,Acer 宏碁,AL15-35P-C1PC 15.6吋 文書筆電 灰色,AL15-35P-C1PC,7888,內建 M365,Intel Celeron N4500 處理器 雙核心 1.10 GHz,15.6吋,,,,Intel Graphics,1.230 kg,台灣2年,Windows 11 Home in S mode,,https://www.sanjing3c.com.tw/prod-QCRAL054.html
